mfcc_mean,chroma_mean,spectral_contrast_mean,tempo,loudness_variation,filename,Emotion_Description
"[-5.5965369e+02  1.9026152e+02 -4.4093480e+00 -4.8173347e-01
 -6.2352222e-01 -7.8137951e+00 -3.0428782e+00 -1.1681693e+01
 -1.2195647e+01 -6.4798136e+00 -7.8499460e+00 -1.2701032e+01
 -1.1146196e+01 -8.7152176e+00 -9.7212391e+00 -7.9069982e+00
 -4.0806618e+00 -1.1538941e+00  3.1180859e-01 -1.8550826e+00]","[0.15118647 0.12491994 0.32464725 0.25231248 0.39278787 0.2496488
 0.23606911 0.86963713 0.28476557 0.08852854 0.13823488 0.12141812]","[25.07529747 20.65357927 25.05033806 25.25218684 25.95580919 25.15370318
 44.43160993]",151.99908088235293,0.005352328,Q1_0vLPYiPN7qY_0.mid,1
"[-5.7619257e+02  2.0212421e+02 -9.7937441e-01  1.8880087e-01
  2.7813096e+00 -1.1418829e+01 -6.5888014e+00 -1.6367901e+01
 -2.0514448e+01 -1.7361361e+01 -1.4800454e+01 -1.2185238e+01
 -1.0536871e+01 -4.7511635e+00 -1.2873403e+00 -3.1328952e+00
 -3.5661659e+00 -4.6415515e+00 -6.3102012e+00 -4.3937154e+00]","[0.38774318 0.17213966 0.21434827 0.18421465 0.23703282 0.46642137
 0.24843444 0.38802463 0.20124309 0.40743    0.4888343  0.22248678]","[23.14958482 20.76309112 26.58647681 26.79220441 27.4143684  25.27706922
 42.83501957]",151.99908088235293,0.0036056486,Q1_0vLPYiPN7qY_1.mid,1
"[-548.76086    201.95029     -4.906269    -2.7783961   -1.512565
  -11.907867    -6.38179    -10.463522   -12.737423   -10.260737
  -10.335808   -12.3070545   -9.427026    -4.589539    -3.4110522
   -3.5435984   -1.9714476   -3.2882614   -7.583463    -6.1580086]","[0.34422293 0.15159127 0.21050295 0.13516982 0.17027982 0.27791327
 0.1944076  0.6069768  0.22458695 0.31005076 0.28575838 0.1512416 ]","[23.40128148 21.13555436 26.18674763 27.11015943 27.17765576 25.90927604
 45.26430258]",151.99908088235293,0.0045419317,Q1_0vLPYiPN7qY_2.mid,1
"[-521.5789     201.54564    -18.328728    -2.9860284    1.4798481
  -11.164989    -6.628531   -11.65802    -10.226508    -7.376529
   -6.492444    -7.5502024   -8.409734    -7.23561     -4.7360983
   -1.257855     1.7049712    0.5585532   -4.2357626   -6.108775 ]","[0.13426709 0.28397307 0.24392009 0.3388536  0.37586305 0.22835487
 0.33936274 0.14543964 0.31278703 0.6070557  0.20060238 0.15241462]","[25.19808249 21.8539649  26.03331085 26.8158752  27.86424124 26.05278642
 44.29332793]",143.5546875,0.0054908246,Q1_1Qc15G0ZHIg_1.mid,1
"[-479.19363    207.03123    -34.624126     5.318854     6.1318254
   -9.586609    -4.697057    -9.213714    -7.087882   -10.4983225
   -8.454879    -7.0844064   -7.781784    -3.452022    -2.946861
   -3.7680905   -1.4425927   -1.6943351   -2.186939    -2.13623  ]","[0.15707748 0.3555937  0.3210806  0.24870329 0.51315904 0.2693964
 0.2889378  0.13723998 0.25451085 0.5204845  0.19525157 0.20028478]","[25.83416794 20.42843629 25.23054206 25.55947805 27.48090151 27.54714193
 46.00145163]",73.828125,0.005275844,Q1_1Qc15G0ZHIg_2.mid,1
"[-4.7777090e+02  1.9003204e+02 -3.4414467e+01  8.7547626e+00
  3.4817607e+00 -8.2461281e+00 -6.1066175e+00 -1.2714777e+01
 -8.6477976e+00 -9.0626326e+00 -6.5816536e+00 -7.5877213e+00
 -7.7126112e+00 -3.0307362e+00  2.4309698e-01  1.2957737e+00
  1.1745936e+00 -5.0821245e-01 -2.1419117e+00 -1.4757046e+00]","[0.17295513 0.23971044 0.2329769  0.20414394 0.2903688  0.2477476
 0.3721501  0.32740346 0.22607239 0.46393454 0.21372876 0.30724815]","[25.99810018 22.7276946  26.69392254 25.68023643 26.49771832 26.94229286
 46.69589798]",99.38401442307692,0.0071358136,Q1_1Qc15G0ZHIg_3.mid,1
"[-5.0778452e+02  1.9795111e+02 -1.5079604e+01  2.3444967e-01
  4.5935502e+00 -7.3044295e+00  4.7894204e-03 -6.4350753e+00
 -7.4204183e+00 -8.2822514e+00 -1.2021090e+01 -1.1792707e+01
 -9.3836517e+00 -5.4863114e+00 -4.8154063e+00 -6.7113609e+00
 -4.2645802e+00  1.1902666e+00 -6.2363571e-01 -5.0406103e+00]","[0.14587027 0.14106514 0.2642251  0.39501268 0.25612748 0.45839533
 0.25553694 0.45017952 0.24260035 0.22348836 0.49047855 0.22262554]","[25.10953923 19.68169591 23.97975304 24.8595206  27.15039714 27.21198098
 44.15295081]",135.99917763157896,0.005111585,Q1_1vjy9oMFa8c_2.mid,1
"[-4.8924582e+02  1.9667856e+02 -3.1729671e+01  6.5250716e+00
  2.7145374e+00 -7.3750138e+00 -3.2377535e-01 -1.0631306e+01
 -8.2183142e+00 -1.0086928e+01 -9.0777445e+00 -7.2043147e+00
 -9.4149399e+00 -5.0712128e+00 -4.2887878e+00 -6.1030722e+00
 -4.2727909e+00 -2.0041115e+00 -2.5191770e+00 -7.3613900e-01]","[0.19272925 0.14002971 0.32227343 0.519603   0.2574013  0.4502637
 0.2800324  0.35473478 0.16844574 0.14462347 0.34332353 0.20103507]","[23.64946447 19.68042379 22.87455477 24.00618936 26.34684342 27.61034372
 46.21275004]",143.5546875,0.005544675,Q1_1vjy9oMFa8c_4.mid,1
"[-4.64061554e+02  2.11696808e+02 -3.07064075e+01  2.46852732e+00
  4.52424812e+00 -1.00383005e+01 -2.52598143e+00 -6.61919260e+00
 -6.42391014e+00 -6.58121634e+00 -6.81993389e+00 -7.40212488e+00
 -7.28106976e+00 -4.92796278e+00 -5.52598429e+00 -6.35997295e+00
 -2.97717214e+00  1.44725120e+00  4.52404827e-01 -1.33008277e+00]","[0.14733532 0.14322416 0.30557314 0.42202556 0.2302105  0.409266
 0.2419927  0.48614615 0.23178762 0.20132369 0.40358692 0.15774688]","[24.04836694 20.03802947 24.0646953  24.88498715 27.27222159 28.45687141
 46.24501892]",143.5546875,0.004954212,Q1_1vjy9oMFa8c_5.mid,1
"[-5.91129395e+02  1.82659058e+02 -4.52407026e+00  4.42535073e-01
  1.16133547e+00 -1.25295153e+01 -1.09430199e+01 -1.78409061e+01
 -1.76735992e+01 -1.14361105e+01 -7.81706619e+00 -7.09419680e+00
 -5.89862871e+00 -5.22602177e+00 -5.47758245e+00 -4.91182518e+00
 -4.35119200e+00 -7.16747427e+00 -9.68872929e+00 -7.34532928e+00]","[0.36867988 0.13437983 0.20209946 0.17971319 0.38705358 0.2095493
 0.15160961 0.3804966  0.19249003 0.31647757 0.17889453 0.2607357 ]","[22.29718792 23.10679422 28.66943039 28.68822994 29.72794813 26.30595898
 44.02063639]",107.666015625,0.0036317646,Q1_2Z9SjI131jA_0.mid,1
