mfcc_mean,chroma_mean,spectral_contrast_mean,tempo,loudness_variation,Emotion_Description
[-267.08456 127.4929 8.400569 20.83891 22.41339 4.6869817 3.50165 11.011948 2.529601 -0.562436 -2.983005 3.7168612 -4.9976764 -5.1994753 -4.255726 0.66508764 -4.697898 1.3234196 -1.1099247 -0.3490363],[0.31008628 0.28632075 0.32254705 0.23437786 0.2674003 0.18743348 0.23995574 0.24020493 0.20641927 0.38360268 0.25573325 0.20175892],[19.956668123309917 18.30005953356842 23.299550789398594 23.686998261678415 23.65517012382581 19.927259356863647 47.36551798692619],95.703125,0.07514012,4
[-29.007324 102.69291 -6.2463713 28.312927 4.621798 13.930839 -1.9780916 7.3390036 -1.1503619 5.593444 0.75079304 4.298177 0.73789936 1.5372714 1.4804593 3.5319757 0.45479903 5.267239 -0.862032 -1.5603554],[0.44391584 0.31650725 0.3726436 0.30249345 0.44986504 0.34412646 0.39183038 0.49004346 0.41466716 0.61274683 0.38858452 0.43785033],[18.75159913786767 14.028992530753168 18.597161260547463 18.781036166429384 18.724191865719625 18.414969976096852 48.766621839111245],135.9991776,0.2588077,1
[-164.74281 125.447205 -19.984379 19.461512 3.9971128 3.8918107 -2.4017131 4.7311964 -8.476456 4.8734894 -3.8352463 -1.7777561 -0.81434983 -3.8182933 -7.0950866 1.1847771 -7.865075 -4.9736147 -4.392895 -1.5945189],[0.24297439 0.5146866 0.48302677 0.30158135 0.34348536 0.27121764 0.3918008 0.25764763 0.33907047 0.4596096 0.29656377 0.32517466],[19.462292845940752 15.573434753784335 19.671483257623354 20.252890843422485 21.428676376139627 21.73324137036039 47.59282304093997],117.4538352,0.07345324,4
[-331.18127 116.66872 32.367558 38.69196 23.142508 14.286666 8.948962 9.070069 0.74248755 5.8930216 -1.2885702 2.4168885 0.22827211 -4.204342 -4.200653 -1.5020945 -0.8513649 -2.0680716 0.013495541 1.8633406],[0.3588911 0.3900666 0.42613205 0.3377272 0.28790584 0.33293903 0.34826177 0.4314355 0.33998963 0.24300073 0.25124127 0.29059908],[21.581479319792095 19.19177205591521 20.66110911635179 19.702285043781995 21.10371451955246 21.649755885128634 48.702939475538194],143.5546875,0.095277295,4
[-291.93353 87.8706 12.169783 25.738647 -13.576346 -4.250889 -3.126661 -5.2518997 -2.7364752 -0.73558927 3.8523834 0.21847211 -5.260387 2.475076 -2.8317692 1.8987801 -5.323998 -0.5228682 -5.1319566 -1.3315393],[0.27351633 0.3133404 0.2128539 0.15987115 0.20731519 0.1815896 0.20112027 0.24861017 0.25429362 0.47830996 0.35104346 0.28945297],[17.972439026200462 18.9040800604292 22.009256086121383 20.98163684603472 18.761846153114142 17.983460982388944 47.318709442817195],89.10290948,0.088650055,4
[-138.38306 126.29752 -29.60869 45.768536 -17.605747 7.8049254 -8.182051 1.6999555 -5.8945055 3.1836643 -5.718199 -12.118008 -10.057899 -9.963378 -7.0504856 -5.468864 -12.30513 -1.708851 -2.3723342 5.937662],[0.24612327 0.18417312 0.38042977 0.3366715 0.54629934 0.256721 0.34888345 0.41236758 0.21383643 0.19938739 0.29104725 0.593863],[21.05041540844367 16.17276161113373 18.657119364278838 19.69112450340097 17.945930772132318 18.398230376474245 50.26114306892346],112.3471467,0.09185674,2
[-153.15616 113.90009 -8.635194 36.028427 -0.55021274 15.307122 -3.912421 4.969436 -7.341026 6.4069967 -4.438049 3.1330998 -1.9320314 0.7100348 -4.057097 -4.449649 -9.803724 -2.0191982 -2.2774253 -1.0626168],[0.68165755 0.43956837 0.37074125 0.26942518 0.39311266 0.35837194 0.3155787 0.43910176 0.29622602 0.27496052 0.28839388 0.4970265],[18.254218110460226 13.411164512903605 16.277414451530827 17.918948465987633 18.175131758079612 19.02307916960414 51.96957849007657],117.4538352,0.08424433,4
[-252.71317 83.133156 11.903013 21.04181 -10.42586 -4.838652 -3.6225839 -10.088212 -11.069916 3.1443486 -13.438566 -3.8874757 -9.932294 -4.984503 -3.2657998 -3.0399327 -3.0078979 -1.2483306 -6.8171005 0.44250605],[0.2600229 0.25370687 0.2379339 0.28195617 0.29355243 0.40049765 0.31385297 0.15776117 0.21451184 0.24015176 0.25859693 0.24031267],[20.840573572251536 16.040690473218724 20.503684709233486 20.429962584410262 19.939976826355803 20.13343850251157 50.89507082970172],172.265625,0.08492154,2
[-231.65352 80.9311 6.917923 27.559658 0.26994672 0.38496098 -3.695852 -1.6529137 -10.75391 4.151246 -11.264577 -0.45194831 -9.194716 -5.305827 -5.8439336 -2.1111858 -2.7761414 1.2947906 -5.130471 -2.1260588],[0.2979137 0.30130845 0.3035574 0.38228795 0.3952752 0.29065904 0.29934955 0.2648206 0.27471346 0.30962282 0.36217076 0.34444475],[20.66608593935626 15.173212411650885 19.658143034232804 17.77859345202327 17.61091655411014 17.79258095412424 49.2985699568259],135.9991776,0.09189578,4
[-215.879 122.83259 -16.068798 21.79025 9.134977 5.2992506 -13.687718 7.6432076 -12.296124 -3.7785552 -7.6828275 -8.293907 -2.2670648 -6.6740355 -3.6760561 -6.732563 -10.093058 -3.3831568 -1.2725078 -5.702389],[0.4170146 0.30355528 0.32057285 0.2679345 0.308612 0.267647 0.25173244 0.39111447 0.29685315 0.36781773 0.29196796 0.4137879],[19.590570922265567 15.768838401462494 18.92394700679617 19.681472420578846 20.748940709807016 20.682363423371516 50.33891271053313],143.5546875,0.07988163,2
[-279.30328 170.6667 -52.91976 39.280453 1.1301856 -5.2194614 3.6748526 -8.5711 2.8747587 -8.235889 -2.4240897 -0.70617783 -8.422298 -2.7333374 -1.9563893 -0.15758418 -3.5001376 -4.1743374 0.30542484 -3.3068962],[0.17208464 0.20372705 0.3644325 0.21548848 0.20354772 0.2182844 0.34427366 0.52052844 0.2568455 0.19863002 0.29266587 0.2732451],[17.31347649372995 18.474942892334035 20.56975296406256 19.64330585756905 20.27783349218757 26.3967330246816 46.64646231838126],135.9991776,0.060700975,2
