mfcc_mean,chroma_mean,spectral_contrast_mean,tempo,loudness_variation,Emotion_Description
[-5.5965369e+02  1.9026152e+02 -4.4093480e+00 -4.8173347e-01 -6.2352222e-01 -7.8137951e+00 -3.0428782e+00 -1.1681693e+01 -1.2195647e+01 -6.4798136e+00 -7.8499460e+00 -1.2701032e+01 -1.1146196e+01],[0.15118647 0.12491994 0.32464725 0.25231248 0.39278787 0.2496488 0.23606911 0.86963713 0.28476557 0.08852854 0.13823488 0.12141812],[25.07529747 20.65357927 25.05033806 25.25218684 25.95580919 25.15370318 44.43160993],151.9990809,0.005352328,1
[-5.7619257e+02  2.0212421e+02 -9.7937441e-01  1.8880087e-01  2.7813096e+00 -1.1418829e+01 -6.5888014e+00 -1.6367901e+01 -2.0514448e+01 -1.7361361e+01 -1.4800454e+01 -1.2185238e+01 -1.0536871e+01],[0.38774318 0.17213966 0.21434827 0.18421465 0.23703282 0.46642137 0.24843444 0.38802463 0.20124309 0.40743    0.4888343  0.22248678],[23.14958482 20.76309112 26.58647681 26.79220441 27.4143684  25.27706922 42.83501957],151.9990809,0.003605649,1
[-548.76086    201.95029     -4.906269    -2.7783961   -1.512565  -11.907867    -6.38179    -10.463522   -12.737423   -10.260737  -10.335808   -12.3070545   -9.427026 ],[0.34422293 0.15159127 0.21050295 0.13516982 0.17027982 0.27791327 0.1944076  0.6069768  0.22458695 0.31005076 0.28575838 0.1512416 ],[23.40128148 21.13555436 26.18674763 27.11015943 27.17765576 25.90927604 45.26430258],151.9990809,0.004541932,1
[-521.5789     201.54564    -18.328728    -2.9860284    1.4798481  -11.164989    -6.628531   -11.65802    -10.226508    -7.376529   -6.492444    -7.5502024   -8.409734 ],[0.13426709 0.28397307 0.24392009 0.3388536  0.37586305 0.22835487 0.33936274 0.14543964 0.31278703 0.6070557  0.20060238 0.15241462],[25.19808249 21.8539649  26.03331085 26.8158752  27.86424124 26.05278642 44.29332793],143.5546875,0.005490825,1
[-479.19363    207.03123    -34.624126     5.318854     6.1318254   -9.586609    -4.697057    -9.213714    -7.087882   -10.4983225   -8.454879    -7.0844064   -7.781784 ],[0.15707748 0.3555937  0.3210806  0.24870329 0.51315904 0.2693964 0.2889378  0.13723998 0.25451085 0.5204845  0.19525157 0.20028478],[25.83416794 20.42843629 25.23054206 25.55947805 27.48090151 27.54714193 46.00145163],73.828125,0.005275844,1
[-477.7709     190.03204    -34.414467     8.754763     3.4817607   -8.246128    -6.1066175  -12.714777    -8.647798    -9.062633   -6.5816536   -7.5877213   -7.712611 ],[0.17295513 0.23971044 0.2329769  0.20414394 0.2903688  0.2477476 0.3721501  0.32740346 0.22607239 0.46393454 0.21372876 0.30724815],[25.99810018 22.7276946  26.69392254 25.68023643 26.49771832 26.94229286 46.69589798],99.38401442,0.007135814,1
[-5.0778452e+02  1.9795111e+02 -1.5079604e+01  2.3444967e-01  4.5935502e+00 -7.3044295e+00  4.7894204e-03 -6.4350753e+00 -7.4204183e+00 -8.2822514e+00 -1.2021090e+01 -1.1792707e+01 -9.3836517e+00],[0.14587027 0.14106514 0.2642251  0.39501268 0.25612748 0.45839533 0.25553694 0.45017952 0.24260035 0.22348836 0.49047855 0.22262554],[25.10953923 19.68169591 23.97975304 24.8595206  27.15039714 27.21198098 44.15295081],135.9991776,0.005111585,1
[-4.8924582e+02  1.9667856e+02 -3.1729671e+01  6.5250716e+00  2.7145374e+00 -7.3750138e+00 -3.2377535e-01 -1.0631306e+01 -8.2183142e+00 -1.0086928e+01 -9.0777445e+00 -7.2043147e+00 -9.4149399e+00],[0.19272925 0.14002971 0.32227343 0.519603   0.2574013  0.4502637 0.2800324  0.35473478 0.16844574 0.14462347 0.34332353 0.20103507],[23.64946447 19.68042379 22.87455477 24.00618936 26.34684342 27.61034372 46.21275004],143.5546875,0.005544675,1
[-464.06155    211.69681    -30.706408     2.4685273    4.524248  -10.0383005   -2.5259814   -6.6191926   -6.42391     -6.5812163   -6.819934    -7.402125    -7.2810698],[0.14733532 0.14322416 0.30557314 0.42202556 0.2302105  0.409266 0.2419927  0.48614615 0.23178762 0.20132369 0.40358692 0.15774688],[24.04836694 20.03802947 24.0646953  24.88498715 27.27222159 28.45687141 46.24501892],143.5546875,0.004954212,1
[-5.91129395e+02  1.82659058e+02 -4.52407026e+00  4.42535073e-01  1.16133547e+00 -1.25295153e+01 -1.09430199e+01 -1.78409061e+01 -1.76735992e+01 -1.14361105e+01 -7.81706619e+00 -7.09419680e+00 -5.89862871e+00],[0.36867988 0.13437983 0.20209946 0.17971319 0.38705358 0.2095493 0.15160961 0.3804966  0.19249003 0.31647757 0.17889453 0.2607357 ],[22.29718792 23.10679422 28.66943039 28.68822994 29.72794813 26.30595898 44.02063639],107.6660156,0.003631765,1
[-6.3594751e+02  1.4988919e+02  3.1280663e+00 -6.3333648e-01 -3.9934450e-01 -8.5298758e+00 -8.8135681e+00 -1.4780080e+01 -1.6307028e+01 -1.2783908e+01 -6.4397860e+00 -3.7146819e+00 -1.5066230e+00],[0.37570095 0.12416482 0.14854413 0.0755619  0.13805155 0.15509126 0.17857487 0.4706775  0.15550974 0.1834231  0.09759735 0.25727707],[23.49356885 23.40185289 29.62823987 27.47430441 26.9401527  24.2579071 43.81772084],129.1992188,0.004147657,1
[-552.1632     194.42819    -17.966963    -3.2775187    6.686288   -5.489816    -1.9106872   -8.346566    -8.667225   -10.88731  -12.808886    -8.12513     -6.521046 ],[0.30262986 0.1925418  0.4034616  0.23524028 0.21170707 0.13758157 0.27091342 0.37845552 0.14576566 0.1866774  0.15621947 0.372151  ],[26.34180977 23.53276829 26.77030724 28.67108732 29.14000444 26.33754673 45.44937263],95.703125,0.003972359,1
[-626.993      143.44884     -3.5093741   -8.762017    -1.2306707   -3.6547546   -1.7797338   -2.7753713   -4.4956746   -4.219089   -8.4656315  -10.985732    -5.002089 ],[0.27670184 0.16058029 0.3183462  0.13587272 0.13891616 0.08772743 0.16934265 0.46019444 0.1647794  0.1981338  0.11393227 0.23444726],[23.57205539 20.76707128 25.09136535 29.6565032  28.13024177 25.45993266 45.32774815],123.046875,0.004040486,1
[-667.9304     122.06997      1.0819099   -1.8896476   -2.4137933  -10.412443    -7.8741713  -10.979466   -12.470395    -8.409691   -4.529981    -4.805557    -3.672967 ],[0.32475471 0.10961897 0.09486927 0.07822184 0.2657464  0.2141806 0.14078319 0.3991016  0.14056063 0.13694194 0.0765551  0.17107606],[19.14494135 19.60089051 24.39826428 24.265768   24.07687299 22.08593844 36.34037484],107.6660156,0.004975326,1
[-5.5782397e+02  1.7731920e+02 -1.5326886e+01  4.0873033e-01  1.1304777e+00 -8.2393551e+00 -6.1760144e+00 -1.1573692e+01 -9.5571547e+00 -6.5313821e+00 -8.8362122e+00 -1.0522114e+01 -9.0676060e+00],[0.40870887 0.24044596 0.40983117 0.20719883 0.28390098 0.1226296 0.22116132 0.2501122  0.17285277 0.31874284 0.1610268  0.31179628],[23.5197438  22.91532014 26.0924302  27.59059207 28.0181806  25.9771374 46.25558907],123.046875,0.00467865,1
[-6.6774341e+02  9.9950058e+01 -7.4708490e+00  1.4515351e+00 -1.8620338e-01 -7.5540133e+00 -4.8781676e+00 -7.5598650e+00 -7.9183054e+00 -4.2575607e+00 -1.4885451e+00 -2.1093040e+00 -2.1143579e+00],[0.08914827 0.05097291 0.17413436 0.38326463 0.12910017 0.13854986 0.0782751  0.15837629 0.1404656  0.06953844 0.13249816 0.06155495],[19.82463964 20.03919621 23.23878945 22.99962002 23.46687807 22.15448809 34.10714553],123.046875,0.005559876,1
[-681.14856     99.3507     -12.798478     2.8516       2.3736825   -3.008212    -1.8864614   -7.317194    -6.9043508   -6.6997437   -5.3856864   -4.765019    -4.11841  ],[0.10337837 0.11510266 0.07418799 0.14318685 0.17026117 0.12690555 0.27822343 0.13713975 0.2353545  0.18298417 0.11444066 0.21694687],[21.69914365 19.82261405 21.4229225  21.70486516 22.61543855 21.54243174 31.9974075 ],135.9991776,0.005391448,1
[-549.85297    187.8727     -13.804793     2.4268954    2.9600892   -6.3299537   -3.1038227  -13.459946   -16.936241   -14.74284  -10.980458    -9.941631   -10.486633 ],[0.49530095 0.20163377 0.20573512 0.11226126 0.2821914  0.5829996 0.25166944 0.35800064 0.16252664 0.2188641  0.14490956 0.15291926],[23.42223357 21.68664063 26.27517665 27.81903873 27.56488394 26.10869351 45.46514459],117.4538352,0.005158587,1
[-7.5707379e+02  6.4801369e+01  2.4945669e+00  2.9606059e+00  3.3088112e+00 -1.5158044e-01 -1.3201236e+00 -5.2976971e+00 -5.9973760e+00 -6.1095848e+00 -5.6316743e+00 -4.8230667e+00 -4.2974820e+00],[0.27474162 0.13051705 0.09080961 0.07027657 0.13481931 0.10319665 0.07600944 0.16530798 0.0883132  0.12620167 0.10925192 0.11480813],[18.9881909  17.41432573 19.42636946 19.15966447 18.69114703 16.85684832 26.1297098 ],129.1992188,0.00387432,1
[-651.83       125.250595    -9.178833     0.7380048    0.7207892   -6.6965156   -3.7982302   -7.794613    -8.31036     -6.7201   -5.372296    -5.9831786   -5.196235 ],[0.23500715 0.10639228 0.11737436 0.06853618 0.1438608  0.18657635 0.10119509 0.28113273 0.11830966 0.16834816 0.15037006 0.09799348],[20.55173657 19.13835631 22.52349986 22.74251924 23.54760701 22.67699718 35.19565975],123.046875,0.004982009,1
